Date,Time,Time since start (s),X (N.m),Y (N.m),Z (N.m)
04/06/2026,18:00:15,9628.8,1.803053E-06,0.0001233305,-2.484224E-05
04/06/2026,18:00:15,9629,1.80183E-06,0.0001233237,-2.484076E-05
04/06/2026,18:00:16,9629.2,1.800604E-06,0.0001233169,-2.483928E-05
04/06/2026,18:00:16,9629.4,1.79938E-06,0.00012331,-2.483779E-05
04/06/2026,18:00:16,9629.6,1.798167E-06,0.0001233032,-2.483631E-05
04/06/2026,18:00:16,9629.8,1.796959E-06,0.0001232964,-2.483483E-05
04/06/2026,18:00:16,9630,1.795755E-06,0.0001232896,-2.483335E-05
04/06/2026,18:00:17,9630.2,1.794551E-06,0.0001232828,-2.483188E-05
04/06/2026,18:00:17,9630.4,1.793341E-06,0.000123276,-2.48304E-05
04/06/2026,18:00:17,9630.6,1.792123E-06,0.0001232692,-2.482892E-05
04/06/2026,18:00:17,9630.8,1.790898E-06,0.0001232624,-2.482744E-05
04/06/2026,18:00:17,9631,1.789669E-06,0.0001232556,-2.482596E-05
04/06/2026,18:00:18,9631.2,1.788443E-06,0.0001232489,-2.482449E-05
04/06/2026,18:00:18,9631.4,1.787215E-06,0.0001232421,-2.482301E-05
04/06/2026,18:00:18,9631.6,1.785985E-06,0.0001232353,-2.482153E-05
04/06/2026,18:00:18,9631.8,1.784752E-06,0.0001232285,-2.482005E-05
04/06/2026,18:00:18,9632,1.783513E-06,0.0001232217,-2.481857E-05
04/06/2026,18:00:19,9632.2,1.782268E-06,0.0001232149,-2.481709E-05
04/06/2026,18:00:19,9632.4,1.781025E-06,0.0001232081,-2.481561E-05
04/06/2026,18:00:19,9632.6,1.779785E-06,0.0001232013,-2.481413E-05
04/06/2026,18:00:19,9632.8,1.778545E-06,0.0001231945,-2.481265E-05
04/06/2026,18:00:19,9633,1.777306E-06,0.0001231877,-2.481116E-05
04/06/2026,18:00:20,9633.2,1.776069E-06,0.0001231808,-2.480968E-05
04/06/2026,18:00:20,9633.4,1.774833E-06,0.000123174,-2.480819E-05
04/06/2026,18:00:20,9633.6,1.773602E-06,0.0001231672,-2.480671E-05
04/06/2026,18:00:20,9633.8,1.772375E-06,0.0001231604,-2.480523E-05
04/06/2026,18:00:20,9634,1.771149E-06,0.0001231536,-2.480375E-05
04/06/2026,18:00:21,9634.2,1.769921E-06,0.0001231468,-2.480228E-05
04/06/2026,18:00:21,9634.4,1.768696E-06,0.0001231401,-2.48008E-05
04/06/2026,18:00:21,9634.6,1.767472E-06,0.0001231333,-2.479932E-05
04/06/2026,18:00:21,9634.8,1.766244E-06,0.0001231265,-2.479784E-05
04/06/2026,18:00:21,9635,1.765025E-06,0.0001231197,-2.479636E-05
04/06/2026,18:00:22,9635.2,1.763815E-06,0.0001231129,-2.479489E-05
04/06/2026,18:00:22,9635.4,1.76261E-06,0.0001231061,-2.479342E-05
04/06/2026,18:00:22,9635.6,1.761409E-06,0.0001230994,-2.479195E-05
04/06/2026,18:00:22,9635.8,1.760215E-06,0.0001230926,-2.479048E-05
04/06/2026,18:00:22,9636,1.759024E-06,0.0001230859,-2.478901E-05
04/06/2026,18:00:23,9636.2,1.757831E-06,0.0001230791,-2.478755E-05
04/06/2026,18:00:23,9636.4,1.756636E-06,0.0001230724,-2.478608E-05
04/06/2026,18:00:23,9636.6,1.755441E-06,0.0001230656,-2.478461E-05
04/06/2026,18:00:23,9636.8,1.754244E-06,0.0001230589,-2.478315E-05
04/06/2026,18:00:23,9637,1.753054E-06,0.0001230521,-2.478169E-05
04/06/2026,18:00:24,9637.2,1.751869E-06,0.0001230454,-2.478023E-05
04/06/2026,18:00:24,9637.4,1.750685E-06,0.0001230387,-2.477877E-05
04/06/2026,18:00:24,9637.6,1.749503E-06,0.000123032,-2.477731E-05
04/06/2026,18:00:24,9637.8,1.748321E-06,0.0001230253,-2.477585E-05
04/06/2026,18:00:24,9638,1.747139E-06,0.0001230185,-2.477439E-05
04/06/2026,18:00:25,9638.2,1.745954E-06,0.0001230118,-2.477292E-05
04/06/2026,18:00:25,9638.4,1.744766E-06,0.000123005,-2.477146E-05
04/06/2026,18:00:25,9638.6,1.743574E-06,0.0001229983,-2.476999E-05
04/06/2026,18:00:25,9638.8,1.742376E-06,0.0001229915,-2.476852E-05
04/06/2026,18:00:25,9639,1.741172E-06,0.0001229848,-2.476705E-05
04/06/2026,18:00:26,9639.2,1.739966E-06,0.000122978,-2.476558E-05
04/06/2026,18:00:26,9639.4,1.738767E-06,0.0001229712,-2.476411E-05
04/06/2026,18:00:26,9639.6,1.737577E-06,0.0001229645,-2.476264E-05
04/06/2026,18:00:26,9639.8,1.736391E-06,0.0001229577,-2.476118E-05
04/06/2026,18:00:26,9640,1.735209E-06,0.000122951,-2.475971E-05
04/06/2026,18:00:27,9640.2,1.734026E-06,0.0001229442,-2.475824E-05
04/06/2026,18:00:27,9640.4,1.732841E-06,0.0001229374,-2.475677E-05
04/06/2026,18:00:27,9640.6,1.731649E-06,0.0001229307,-2.47553E-05
04/06/2026,18:00:27,9640.8,1.730463E-06,0.0001229239,-2.475384E-05
04/06/2026,18:00:27,9641,1.72929E-06,0.0001229172,-2.475238E-05
04/06/2026,18:00:28,9641.2,1.72812E-06,0.0001229105,-2.475092E-05
04/06/2026,18:00:28,9641.4,1.726951E-06,0.0001229038,-2.474946E-05
04/06/2026,18:00:28,9641.6,1.72579E-06,0.0001228971,-2.474801E-05
04/06/2026,18:00:28,9641.8,1.724638E-06,0.0001228904,-2.474655E-05
04/06/2026,18:00:28,9642,1.723492E-06,0.0001228837,-2.47451E-05
04/06/2026,18:00:29,9642.2,1.722348E-06,0.000122877,-2.474365E-05
04/06/2026,18:00:29,9642.4,1.721202E-06,0.0001228703,-2.47422E-05
04/06/2026,18:00:29,9642.6,1.720052E-06,0.0001228636,-2.474075E-05
04/06/2026,18:00:29,9642.8,1.718892E-06,0.0001228569,-2.47393E-05
04/06/2026,18:00:29,9643,1.717728E-06,0.0001228502,-2.473785E-05
04/06/2026,18:00:30,9643.2,1.716561E-06,0.0001228435,-2.47364E-05
04/06/2026,18:00:30,9643.4,1.715389E-06,0.0001228368,-2.473494E-05
04/06/2026,18:00:30,9643.6,1.714214E-06,0.0001228301,-2.473348E-05
04/06/2026,18:00:30,9643.8,1.713036E-06,0.0001228234,-2.473203E-05
04/06/2026,18:00:30,9644,1.711854E-06,0.0001228167,-2.473057E-05
04/06/2026,18:00:31,9644.2,1.710669E-06,0.00012281,-2.472911E-05
04/06/2026,18:00:31,9644.4,1.709486E-06,0.0001228033,-2.472765E-05
04/06/2026,18:00:31,9644.6,1.708304E-06,0.0001227965,-2.472619E-05
04/06/2026,18:00:31,9644.8,1.707117E-06,0.0001227898,-2.472473E-05
04/06/2026,18:00:31,9645,1.705925E-06,0.0001227831,-2.472326E-05
04/06/2026,18:00:32,9645.2,1.704735E-06,0.0001227763,-2.47218E-05
04/06/2026,18:00:32,9645.4,1.703541E-06,0.0001227696,-2.472034E-05
04/06/2026,18:00:32,9645.6,1.702351E-06,0.0001227629,-2.471888E-05
04/06/2026,18:00:32,9645.8,1.701162E-06,0.0001227562,-2.471742E-05
04/06/2026,18:00:32,9646,1.699969E-06,0.0001227495,-2.471597E-05
04/06/2026,18:00:33,9646.2,1.698779E-06,0.0001227428,-2.471451E-05
04/06/2026,18:00:33,9646.4,1.697598E-06,0.0001227361,-2.471306E-05
04/06/2026,18:00:33,9646.6,1.696423E-06,0.0001227294,-2.471161E-05
04/06/2026,18:00:33,9646.8,1.695249E-06,0.0001227228,-2.471016E-05
04/06/2026,18:00:33,9647,1.694071E-06,0.0001227161,-2.470871E-05
04/06/2026,18:00:34,9647.2,1.692895E-06,0.0001227095,-2.470727E-05
04/06/2026,18:00:34,9647.4,1.691729E-06,0.0001227028,-2.470583E-05
04/06/2026,18:00:34,9647.6,1.69057E-06,0.0001226962,-2.470438E-05
04/06/2026,18:00:34,9647.8,1.689413E-06,0.0001226896,-2.470294E-05
04/06/2026,18:00:34,9648,1.68825E-06,0.0001226829,-2.47015E-05
04/06/2026,18:00:35,9648.2,1.687084E-06,0.0001226763,-2.470006E-05
04/06/2026,18:00:35,9648.4,1.685917E-06,0.0001226696,-2.469862E-05
04/06/2026,18:00:35,9648.6,1.684746E-06,0.000122663,-2.469718E-05
04/06/2026,18:00:35,9648.8,1.683571E-06,0.0001226564,-2.469575E-05
04/06/2026,18:00:35,9649,1.682392E-06,0.0001226498,-2.469431E-05
04/06/2026,18:00:36,9649.2,1.681212E-06,0.0001226432,-2.469288E-05
04/06/2026,18:00:36,9649.4,1.680035E-06,0.0001226366,-2.469144E-05
04/06/2026,18:00:36,9649.6,1.678857E-06,0.00012263,-2.469001E-05
04/06/2026,18:00:36,9649.8,1.677675E-06,0.0001226234,-2.468857E-05
04/06/2026,18:00:36,9650,1.676493E-06,0.0001226169,-2.468714E-05
04/06/2026,18:00:37,9650.2,1.675309E-06,0.0001226103,-2.468571E-05
04/06/2026,18:00:37,9650.4,1.674124E-06,0.0001226037,-2.468427E-05
04/06/2026,18:00:37,9650.6,1.67294E-06,0.0001225971,-2.468284E-05
04/06/2026,18:00:37,9650.8,1.67175E-06,0.0001225905,-2.46814E-05
04/06/2026,18:00:37,9651,1.670563E-06,0.0001225839,-2.467997E-05
04/06/2026,18:00:38,9651.2,1.669381E-06,0.0001225773,-2.467854E-05
04/06/2026,18:00:38,9651.4,1.6682E-06,0.0001225708,-2.467711E-05
04/06/2026,18:00:38,9651.6,1.667024E-06,0.0001225642,-2.467568E-05
04/06/2026,18:00:38,9651.8,1.665846E-06,0.0001225576,-2.467425E-05
04/06/2026,18:00:38,9652,1.664656E-06,0.000122551,-2.467281E-05
04/06/2026,18:00:39,9652.2,1.663465E-06,0.0001225444,-2.467138E-05
04/06/2026,18:00:39,9652.4,1.662278E-06,0.0001225378,-2.466994E-05
04/06/2026,18:00:39,9652.6,1.661088E-06,0.0001225312,-2.466851E-05
